method	path	tier	families	category	summary	where
PUT	/ISAPI/ContentMgmt/FlashStorage/remove/channels/{channelID}	reference	deepinview	People Counting	Clear the people counting data in the flash memory	deepinview:19.5.1.1@p463
GET	/ISAPI/ContentMgmt/ImageProxy/channels	reference	dvr-pro,dvr-value	Video (General)	Get the image parameters of all channels	dvr-pro:12.2.6.2@p168;dvr-value:12.2.6.2@p186
PUT	/ISAPI/ContentMgmt/ImageProxy/channels	reference	dvr-pro,dvr-value	Video (General)	Set the image parameters of all channels	dvr-pro:12.2.6.1@p167;dvr-value:12.2.6.1@p185
GET	/ISAPI/ContentMgmt/ImageProxy/channels/{channelID}	reference	dvr-pro,dvr-value	Video (General)	Get the image parameters of a specified channel	dvr-pro:12.2.6.3@p169;dvr-value:12.2.6.3@p187
PUT	/ISAPI/ContentMgmt/ImageProxy/channels/{channelID}	reference	dvr-pro,dvr-value	Video (General)	Set the image parameters of a specified channel	dvr-pro:12.2.6.4@p170;dvr-value:12.2.6.4@p188
GET	/ISAPI/ContentMgmt/ImageProxy/channels/{channelID}/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the image parameters capability of a specified channel	dvr-pro:12.2.6.5@p179;dvr-value:12.2.6.5@p197
GET	/ISAPI/ContentMgmt/InputProxy/channels	reference	anpr,deepinview,dvr-pro,dvr-value	Video (General)	Get access parameters of all digital channels	anpr:@p42;deepinview:@p56;dvr-pro:12.2.6.11@p185;dvr-value:12.2.6.12@p202
POST	/ISAPI/ContentMgmt/InputProxy/channels	narrative	dvr-pro,dvr-value	Narrative / Quick Start	2. Add digital channels: POST /ISAPI/ContentMgmt/InputProxy/channels?security=<security>&iv=<iv>.	dvr-pro:@p52;dvr-value:@p52
PUT	/ISAPI/ContentMgmt/InputProxy/channels	reference	dvr-pro,dvr-value	Video (General)	Set parameters of all digital channels	dvr-pro:12.2.6.10@p183;dvr-value:12.2.6.11@p201
GET	/ISAPI/ContentMgmt/InputProxy/channels/activate/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the capability of activating digital channels	dvr-pro:12.2.6.7@p180;dvr-value:12.2.6.8@p199
GET	/ISAPI/ContentMgmt/InputProxy/channels/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the digital channel access capability	dvr-pro:12.2.6.8@p180;dvr-value:12.2.6.9@p199
PUT	/ISAPI/ContentMgmt/InputProxy/channels/smartConfig	narrative	dvr-pro,dvr-value	Narrative / Quick Start		dvr-pro:@p181;dvr-value:@p200
PUT	/ISAPI/ContentMgmt/InputProxy/channels/smartConfig/stop	narrative	dvr-pro,dvr-value	Narrative / Quick Start		dvr-pro:@p182;dvr-value:@p200
GET	/ISAPI/ContentMgmt/InputProxy/channels/status	reference	dvr-pro,dvr-value	Video (General)	Get status of all digital channels	dvr-pro:12.2.6.9@p182;dvr-value:12.2.6.10@p200
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/focus	reference	dvr-value	Video (General)	Set the focus control parameters of a specified digital channel	dvr-value:12.2.6.6@p197
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/iris	reference	dvr-pro,dvr-value	Video (General)	Set the iris control parameters of a specified digital channel	dvr-pro:12.2.6.6@p179;dvr-value:12.2.6.7@p198
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays	reference	dvr-pro,dvr-value	Video (General)	Get text overlay parameters of a specific video digital input channel	dvr-pro:12.2.2.1@p135;dvr-value:12.2.2.1@p151
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays	reference	dvr-pro,dvr-value	Video (General)	Set text overlay parameters of a specific video digital input channel	dvr-pro:12.2.2.2@p136;dvr-value:12.2.2.2@p152
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/capabilities	reference	dvr-pro,dvr-value	Video (General)	Get the text overlay configuration capability of a specific video digital input channel	dvr-pro:12.2.2.3@p138;dvr-value:12.2.2.3@p154
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/channelNameOverlay	reference	dvr-pro,dvr-value	Video (General)	Get the channel name overlay parameters of a specified digital channel	dvr-pro:12.2.2.5@p141;dvr-value:12.2.2.5@p156
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/channelNameOverlay	reference	dvr-pro,dvr-value	Video (General)	Set the channel name overlay parameters of a specified digital channel	dvr-pro:12.2.2.4@p140;dvr-value:12.2.2.4@p156
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/dateTimeOverlay	reference	dvr-pro,dvr-value	Video (General)	Get the time information overlay parameters of a specified digital channel	dvr-pro:12.2.2.6@p141;dvr-value:12.2.2.6@p157
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/dateTimeOverlay	reference	dvr-pro,dvr-value	Video (General)	Set the time information overlay parameters of a specified digital channel	dvr-pro:12.2.2.7@p142;dvr-value:12.2.2.7@p157
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text	reference	dvr-pro,dvr-value	Video (General)	Get all text overlay parameters of a specified digital channel	dvr-pro:12.2.2.8@p142;dvr-value:12.2.2.8@p158
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text	reference	dvr-pro,dvr-value	Video (General)	Set all text overlay parameters of a specified digital channel	dvr-pro:12.2.2.9@p143;dvr-value:12.2.2.9@p159
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text/{textID}	reference	dvr-pro,dvr-value	Video (General)	Get the text overlay parameters of the specific digital channel	dvr-pro:12.2.2.10@p144;dvr-value:12.2.2.10@p159
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/overlays/text/{textID}	reference	dvr-pro,dvr-value	Video (General)	Set parameters of a specific digital channel	dvr-pro:12.2.2.11@p144;dvr-value:12.2.2.11@p160
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask	reference	dvr-pro,dvr-value	Video (General)	Get the privacy mask parameters of a specified digital channel	dvr-pro:12.2.3.1@p160;dvr-value:12.2.3.1@p171
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask	reference	dvr-pro,dvr-value	Video (General)	Set the privacy mask parameters of the specified digital channel	dvr-pro:12.2.3.2@p161;dvr-value:12.2.3.2@p172
GET	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask/regions	reference	dvr-pro,dvr-value	Video (General)	Get the privacy mask area parameters of a specified digital channel	dvr-pro:12.2.3.3@p162;dvr-value:12.2.3.3@p173
PUT	/ISAPI/ContentMgmt/InputProxy/channels/{channelID}/video/privacyMask/regions	reference	dvr-pro,dvr-value	Video (General)	Set parameters of all privacy mask areas of the specified digital channel	dvr-pro:12.2.3.4@p163;dvr-value:12.2.3.4@p174
GET	/ISAPI/ContentMgmt/InputProxy/ipcConfig	reference	dvr-pro,dvr-value	Video (General)	Get the digital channel configuration file	dvr-pro:12.2.6.13@p188;dvr-value:12.2.6.14@p205
PUT	/ISAPI/ContentMgmt/InputProxy/ipcConfig	reference	dvr-pro,dvr-value	Video (General)	Set the digital channel configuration file	dvr-pro:12.2.6.12@p187;dvr-value:12.2.6.13@p204
GET	/ISAPI/ContentMgmt/InputProxy/ipcConfigCSV	reference	dvr-value	Video (General)	Get the digital configuration file (CSV format)	dvr-value:12.2.6.15@p205
PUT	/ISAPI/ContentMgmt/InputProxy/ipcConfigCSV	reference	dvr-value	Video (General)	Import the digital configuration file (CSV format)	dvr-value:12.2.6.16@p205
GET	/ISAPI/ContentMgmt/InputProxy/search	reference	dvr-value	Video (General)	Search for accessible network cameras on LAN (Local Area Network)	dvr-value:12.2.6.17@p206
PUT	/ISAPI/ContentMgmt/InputProxy/syncIPCActivatePasswd	reference	dvr-pro,dvr-value	Video (General)	Set the network camera's password to its activation password	dvr-pro:12.2.6.14@p188;dvr-value:12.2.6.18@p207
PUT	/ISAPI/ContentMgmt/InputProxy/syncIPCPasswd	reference	dvr-pro,dvr-value	Video (General)	Synchronize the device password to the digital channel password	dvr-pro:12.2.6.15@p189;dvr-value:12.2.6.19@p208
GET	/ISAPI/ContentMgmt/PTZCtrlProxy/channels	reference	dvr-value	Video (General)	Get parameters of all digital PTZ channels	dvr-value:12.2.6.20@p209
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels	reference	dvr-value	Video (General)	Set parameters of all digital PTZ channels	dvr-value:12.2.6.21@p210
DELETE	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols	reference	dvr-value	Video (General)	Delete all patrols of a digital PTZ channel	dvr-value:12.2.6.23@p212
GET	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols	reference	dvr-value	Video (General)	Set all patrols of a digital PTZ channel	dvr-value:12.2.6.22@p212
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols	reference	dvr-value	Video (General)	Set all patrols' parameters of a specified digital channel	dvr-value:12.2.6.24@p213
DELETE	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols/{patrolID}	reference	dvr-value	Video (General)	Delete a patrol of a digital PTZ channel	dvr-value:12.2.6.27@p216
GET	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols/{patrolID}	reference	dvr-value	Video (General)	Get the patrol parameters of a digital PTZ channel	dvr-value:12.2.6.25@p214
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols/{patrolID}	reference	dvr-value	Video (General)	Set a patrol of a digital PTZ channel	dvr-value:12.2.6.26@p215
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols/{patrolID}/pause	reference	dvr-value	Video (General)	Pause calling a patrol of a digital PTZ channel	dvr-value:12.2.6.28@p216
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols/{patrolID}/start	reference	dvr-value	Video (General)	Start calling a patrol of a digital PTZ channel	dvr-value:12.2.6.29@p217
GET	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols/{patrolID}/status	reference	dvr-value	Video (General)	Search a patrol status of a digital channel	dvr-value:12.2.6.30@p217
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/patrols/{patrolID}/stop	reference	dvr-value	Video (General)	Stop calling a patrol of a digital PTZ channel	dvr-value:12.2.6.31@p218
GET	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/presets	reference	dvr-value	Video (General)	Get parameters of all presets of a digital PTZ channel	dvr-value:12.2.6.33@p219
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/presets	reference	dvr-value	Video (General)	Set presets of a digital PTZ channel	dvr-value:12.2.6.32@p218
PUT	/ISAPI/ContentMgmt/PTZCtrlProxy/channels/{channelID}/presets/{presetID}/goto	reference	dvr-value	Video (General)	Call a preset of a digital PTZ channel	dvr-value:12.2.6.34@p219
PUT	/ISAPI/ContentMgmt/PicSearchByCoordinate	narrative	dvr-pro,dvr-value	Narrative / Quick Start		dvr-pro:@p118;dvr-value:@p123
POST	/ISAPI/ContentMgmt/SearchByTargetType	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	3. Search for videos by target type: POST /ISAPI/ContentMgmt/SearchByTargetType?format=json.	anpr:@p62;deepinview:@p78;dvr-pro:@p61;dvr-value:@p62
GET	/ISAPI/ContentMgmt/SearchByTargetType/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value	Video Management	Get the capability of searching for videos by target type	anpr:@p62;deepinview:@p78;dvr-pro:12.3.2.5@p206;dvr-value:12.3.4.5@p242
GET	/ISAPI/ContentMgmt/SmartSearch/capabilities	reference	dvr-pro	Video Management	Get capability of searching videos by VCA event	dvr-pro:12.3.2.6@p207
GET	/ISAPI/ContentMgmt/Storage/cloud	reference	dvr-pro,dvr-value	Video Management	Get the third-party cloud access parameters	dvr-pro:12.3.1.7@p200;dvr-value:12.3.1.7@p231
PUT	/ISAPI/ContentMgmt/Storage/cloud	reference	dvr-pro,dvr-value	Video Management	Set the third-party cloud access parameters	dvr-pro:12.3.1.6@p199;dvr-value:12.3.1.6@p230
GET	/ISAPI/ContentMgmt/Storage/cloud/URL/capabilities	reference	dvr-pro,dvr-value	Video Management	Get the URL capability of the third-party cloud	dvr-pro:12.3.1.12@p203;dvr-value:12.3.1.12@p234
GET	/ISAPI/ContentMgmt/Storage/cloud/capabilities	reference	dvr-pro,dvr-value	Video Management	Get the third-party cloud access capability	dvr-pro:12.3.1.8@p201;dvr-value:12.3.1.8@p231
GET	/ISAPI/ContentMgmt/Storage/cloud/channels/{channelID}/uploadStrategy	reference	dvr-pro,dvr-value	Video Management	Get storage strategy parameters for the third-party cloud access	dvr-pro:12.3.1.9@p201;dvr-value:12.3.1.9@p232
PUT	/ISAPI/ContentMgmt/Storage/cloud/channels/{channelID}/uploadStrategy	reference	dvr-pro,dvr-value	Video Management	Set storage strategy parameters for the third-party cloud access	dvr-pro:12.3.1.10@p202;dvr-value:12.3.1.10@p232
GET	/ISAPI/ContentMgmt/Storage/cloud/channels/{channelID}/uploadStrategy/capabilities	reference	dvr-pro,dvr-value	Video Management	Get the capability of storage strategy parameters for the third-party cloud access	dvr-pro:12.3.1.11@p203;dvr-value:12.3.1.11@p233
GET	/ISAPI/ContentMgmt/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the storage capability of the device	anpr:12.1.5.1@p110;deepinview:19.1.6.1@p192;dvr-pro:12.1.5.1@p105;dvr-value:12.1.5.1@p111;ipc-value:8.1.3.1@p70
GET	/ISAPI/ContentMgmt/channels/{channelID}/capabilities	reference	deepinview,ipc-value	Device (General)	Get device storage capability by channel	deepinview:19.1.6.2@p193;ipc-value:8.1.3.2@p71
GET	/ISAPI/ContentMgmt/channels/{channelID}/cloudStorage	reference	dvr-pro,dvr-value	Video Management	Get the access parameters of cloud storage in a batch	dvr-pro:12.3.1.4@p196;dvr-value:12.3.1.4@p226
PUT	/ISAPI/ContentMgmt/channels/{channelID}/cloudStorage	reference	dvr-pro,dvr-value	Video Management	Set the access parameters of cloud storage in a batch	dvr-pro:12.3.1.5@p197;dvr-value:12.3.1.5@p228
GET	/ISAPI/ContentMgmt/channels/{channelID}/cloudStorage/{indexID}	reference	dvr-pro,dvr-value	Video Management	Get the access parameters of specified cloud storage	dvr-pro:12.3.1.2@p192;dvr-value:12.3.1.2@p223
PUT	/ISAPI/ContentMgmt/channels/{channelID}/cloudStorage/{indexID}	reference	dvr-pro,dvr-value	Video Management	Set the access parameters of specified cloud storage	dvr-pro:12.3.1.3@p194;dvr-value:12.3.1.3@p225
GET	/ISAPI/ContentMgmt/channels/{channelID}/cloudStorage/{indexID}/capabilities	reference	dvr-pro,dvr-value	Video Management	Get the cloud storage access capability	dvr-pro:12.3.1.1@p190;dvr-value:12.3.1.1@p221
GET	/ISAPI/ContentMgmt/download	narrative	dvr-value	Narrative / Quick Start	Download the videos: GET /ISAPI/ContentMgmt/download?playbackURI=<playbackURI>&mediaID=	dvr-value:@p62
POST	/ISAPI/ContentMgmt/download	narrative	dvr-value	Narrative / Quick Start	Download the videos: POST /ISAPI/ContentMgmt/download.	dvr-value:@p63
GET	/ISAPI/ContentMgmt/download/capabilities	reference	dvr-value	Video Management	Get the capability set of downloading videos	dvr-value:12.3.3.1@p240
POST	/ISAPI/ContentMgmt/eventRecordSearch	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	2. Search for event videos: POST /ISAPI/ContentMgmt/eventRecordSearch?format=json.	anpr:@p61;deepinview:@p77;dvr-pro:@p60;dvr-value:@p61
PUT	/ISAPI/ContentMgmt/record/control/manual/start/tracks/{trackStreamID}	reference	deepinview,ipc-value	Video Management	Start the manual recording	deepinview:19.3.1.1@p420;ipc-value:8.3.1.1@p219
PUT	/ISAPI/ContentMgmt/record/control/manual/stop/tracks/{trackStreamID}	reference	deepinview,ipc-value	Video Management	Stop the manual recording	deepinview:19.3.1.2@p420;ipc-value:8.3.1.2@p219
PUT	/ISAPI/ContentMgmt/record/control/manualRefresh/channels/{channelID}	reference	deepinview,dvr-pro,dvr-value	Video Management	Refresh the video index manually before playback	deepinview:19.3.3.1@p434;dvr-pro:12.3.2.1@p204;dvr-value:12.3.4.1@p240
GET	/ISAPI/ContentMgmt/record/profile	reference	dvr-pro,dvr-value	Video Management	Get video track type	dvr-pro:12.3.2.2@p204;dvr-value:12.3.4.2@p240
GET	/ISAPI/ContentMgmt/record/tracks	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Video Management	Get all parameters of a recording schedule	anpr:@p62;deepinview:19.3.2.1@p420;dvr-pro:@p61;dvr-value:12.3.2.1@p234;ipc-value:8.3.2.1@p219
PUT	/ISAPI/ContentMgmt/record/tracks	reference	anpr,deepinview,dvr-value,ipc-value	Video Management	Set all recording schedules	anpr:@p61;deepinview:19.3.2.2@p423;dvr-value:12.3.2.2@p237;ipc-value:8.3.2.2@p222
POST	/ISAPI/ContentMgmt/record/tracks/101/dailyDistribution	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start		anpr:@p21;deepinview:@p22;dvr-pro:@p20;dvr-value:@p20;ipc-value:@p21
GET	/ISAPI/ContentMgmt/record/tracks/{trackStreamID}	reference	anpr,deepinview,ipc-value	Video Management	Get the recording schedule parameters of a specified channel	anpr:12.3.1.1@p211;deepinview:19.3.2.4@p428;ipc-value:8.3.2.4@p226
PUT	/ISAPI/ContentMgmt/record/tracks/{trackStreamID}	reference	anpr,deepinview,ipc-value	Video Management	Set the recording schedule for a specified channel	anpr:12.3.1.2@p213;deepinview:19.3.2.5@p431;ipc-value:8.3.2.5@p229
GET	/ISAPI/ContentMgmt/record/tracks/{trackStreamID}/capabilities	reference	deepinview,ipc-value	Video Management	Get the configuration capability of the recording schedule	deepinview:19.3.2.3@p426;ipc-value:8.3.2.3@p224
POST	/ISAPI/ContentMgmt/record/tracks/{trackStreamID}/dailyDistribution	reference	dvr-pro,dvr-value	Video Management	Search recorded video files by date	dvr-pro:12.3.2.3@p205;dvr-value:12.3.4.3@p241
POST	/ISAPI/ContentMgmt/search	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Video Management	Search for video and picture files	anpr:@p22;deepinview:19.3.3.3@p435;dvr-pro:@p21;dvr-value:@p21;ipc-value:@p22
GET	/ISAPI/ContentMgmt/search/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value	Video Management	Get the capability of searching for video and picture files	anpr:12.3.2.1@p216;deepinview:19.3.3.2@p434;dvr-pro:@p61;dvr-value:@p62
GET	/ISAPI/ContentMgmt/search/profile	reference	dvr-pro,dvr-value	Video Management	Get video search conditions	dvr-pro:12.3.2.4@p205;dvr-value:12.3.4.4@p242
GET	/ISAPI/ContentMgmt/souceSupport	narrative	dvr-value	Narrative / Quick Start	mfgr string simultaneously (GET /ISAPI/ContentMgmt/souceSupport?mfgr=HIKVISION&mfgr=ONVIF).	dvr-value:@p220
GET	/ISAPI/ContentMgmt/sourceSupport	reference	dvr-value	Video (General)	Get access protocols supported by the device	dvr-value:12.2.6.35@p220
GET	/ISAPI/Custom/OpenPlatform/APP/engines	reference	deepinview	Device (General)	Get Device Engine Status	deepinview:19.1.3.9@p173
GET	/ISAPI/Custom/OpenPlatform/App	reference	deepinview	Device (General)	Get the application program information list	deepinview:19.1.3.2@p166
POST	/ISAPI/Custom/OpenPlatform/App/searchHEOPCustomEvent	narrative	deepinview	Narrative / Quick Start	2. Search for custom events: POST /ISAPI/Custom/OpenPlatform/App/searchHEOPCustomEvent?format=json.	deepinview:@p30
POST	/ISAPI/Custom/OpenPlatform/App/searchHEOPFormattedEvent	narrative	deepinview	Narrative / Quick Start	3. Search for auto-parsing event: POST /ISAPI/Custom/OpenPlatform/App/searchHEOPFormattedEvent?	deepinview:@p32
GET	/ISAPI/Custom/OpenPlatform/App/{AppID}	reference	deepinview	Device (General)	Get Information of an Application Program	deepinview:19.1.3.3@p167
GET	/ISAPI/Custom/OpenPlatform/App/{AppID}/permission	reference	deepinview	Device (General)	Get permissions of the third-party application program	deepinview:19.1.3.5@p169
PUT	/ISAPI/Custom/OpenPlatform/App/{AppID}/permission	reference	deepinview	Device (General)	Set permission of the third-party application program	deepinview:19.1.3.4@p168
PUT	/ISAPI/Custom/OpenPlatform/App/{AppID}/start	reference	deepinview	Device (General)	Run Specified Application Program	deepinview:19.1.3.6@p170
PUT	/ISAPI/Custom/OpenPlatform/App/{AppID}/stop	reference	deepinview	Device (General)	Stop Running Specified Application Program	deepinview:19.1.3.7@p171
GET	/ISAPI/Custom/OpenPlatform/App/{AppID}/syslog	reference	deepinview	Device (General)	Get Specified Application Program Logs	deepinview:19.1.3.8@p172
GET	/ISAPI/Custom/OpenPlatform/algInfo	reference	deepinview	Device (General)	Get Version Information of HEOP Software Library	deepinview:19.1.3.1@p166
GET	/ISAPI/Custom/OpenPlatform/capabilities	reference	deepinview	Device (General)	Get the HEOP capability supported by device	deepinview:19.1.3.10@p173
GET	/ISAPI/Custom/OpenPlatform/disclaimer	reference	deepinview	Device (General)	Get selection status of open platform disclaimer	deepinview:19.1.3.11@p175
PUT	/ISAPI/Custom/OpenPlatform/disclaimer	reference	deepinview	Device (General)	Select the disclaimer	deepinview:19.1.3.12@p175
GET	/ISAPI/Custom/OpenPlatform/pageItem	reference	deepinview	Device (General)	Get Application Program Page Information	deepinview:19.1.3.13@p176
GET	/ISAPI/Custom/OpenPlatform/patchUpgrade/capabilities	reference	deepinview	Device (General)	Get the details of incremental upgrade capability	deepinview:19.1.3.14@p176
GET	/ISAPI/Custom/OpenPlatform/resource	reference	deepinview	Device (General)	Get HEOP Remaining Resources	deepinview:19.1.3.15@p177
GET	/ISAPI/Custom/OpenPlatform/uploadAppStatus	reference	deepinview	Device (General)	Get Synchronous Upgrading Progress of Application Program Full Package	deepinview:19.1.3.17@p178
GET	/ISAPI/Custom/OpenPlatform/uploadAppStatus/async/{AppID}	reference	deepinview	Device (General)	Get Asynchronous Uploading Progress of Application Program Package	deepinview:19.1.3.16@p177
POST	/ISAPI/Event/EventBatchRulesMgr/SearchEventResources	narrative	dvr-pro	Narrative / Quick Start		dvr-pro:@p118
PUT	/ISAPI/Event/RTCTimeTrigger	narrative	dvr-pro,dvr-value	Narrative / Quick Start		dvr-pro:@p118;dvr-value:@p123
GET	/ISAPI/Event/capabilities	narrative	anpr,deepinview	Narrative / Quick Start	calling GET /ISAPI/Event/capabilities and checking whether the message EventCap contains the node	anpr:@p70;deepinview:@p106
GET	/ISAPI/Event/channels/capabilities	narrative	anpr,deepinview,ipc-value	Narrative / Quick Start	Get the event capability of all channels: GET /ISAPI/Event/channels/capabilities.	anpr:@p57;deepinview:@p71;ipc-value:@p46
POST	/ISAPI/Event/channels/{channelID}/GetRegionTargetNumberCountingCfg	reference	deepinview	Crowd Trend Detection	Get parameters of a single rule of regional target counting for a specified channel	deepinview:19.11.1.1@p799
POST	/ISAPI/Event/channels/{channelID}/GetRegionTargetNumberCountingCfgList	reference	deepinview	Crowd Trend Detection	Get all rules parameters of regional target counting for a specified channel	deepinview:19.11.1.2@p800
PUT	/ISAPI/Event/channels/{channelID}/ModifyRegionTargetNumberCountingCfg	reference	deepinview	Crowd Trend Detection	Set parameters of a single rule of regional target counting for a specified channel	deepinview:19.11.1.3@p802
GET	/ISAPI/Event/channels/{channelID}/RegionTargetNumberCounting/capabilities	reference	deepinview	Crowd Trend Detection	Get the capability of regional target counting parameters for a specified channel	deepinview:19.11.1.4@p804
GET	/ISAPI/Event/channels/{channelID}/RegionTargetNumberCountingCommonCfg	reference	deepinview	Crowd Trend Detection	Get the general parameters of regional target counting for a specified channel	deepinview:19.11.1.6@p807
PUT	/ISAPI/Event/channels/{channelID}/RegionTargetNumberCountingCommonCfg	reference	deepinview	Crowd Trend Detection	Set the general parameters of regional target counting for a specified channel	deepinview:19.11.1.5@p806
POST	/ISAPI/Event/channels/{channelID}/SearchRegionTargetNumberCounting	reference	deepinview	Crowd Trend Detection	Search for the regional target statistics report of a specified channel	deepinview:19.11.1.8@p809
GET	/ISAPI/Event/channels/{channelID}/SearchRegionTargetNumberCounting/capabilities	reference	deepinview	Crowd Trend Detection	Get the capability of searching for the regional target statistics report of a specified channel	deepinview:19.11.1.7@p808
GET	/ISAPI/Event/notification/alertStream	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	1. Establish a connection for arming: GET /ISAPI/Event/notification/alertStream. You need to set Connection:	anpr:@p25;deepinview:@p37;dvr-pro:@p24;dvr-value:@p24
POST	/ISAPI/Event/notification/subscribeEvent	reference	anpr,deepinview,dvr-pro,dvr-value	Device (General)	Subscribe to events/alarms in arming mode	anpr:@p27;deepinview:19.1.2.1@p160;dvr-pro:@p26;dvr-value:@p26
GET	/ISAPI/Event/notification/subscribeEventCap	reference	anpr,deepinview,dvr-pro,dvr-value	Device (General)	Get the alarm/event subscription capability	anpr:12.1.2.1@p98;deepinview:19.1.2.2@p164;dvr-pro:12.1.2.1@p94;dvr-value:12.1.2.1@p96
PUT	/ISAPI/Event/notification/unSubscribeEvent	reference	anpr,deepinview,dvr-pro,dvr-value	Device (General)	Cancel subscribing alarm/event	anpr:12.1.2.2@p99;deepinview:19.1.2.3@p165;dvr-pro:12.1.2.2@p95;dvr-value:12.1.2.2@p98
GET	/ISAPI/Event/schedules/attendedBaggages	reference	deepinview,dvr-pro,dvr-value	Abnormal Event Detection	Get the arming schedule of object removal detection for all channels	deepinview:19.7.3.1@p562;dvr-pro:12.4.3.1@p211;dvr-value:12.4.3.1@p247
PUT	/ISAPI/Event/schedules/attendedBaggages	reference	deepinview,dvr-pro,dvr-value	Abnormal Event Detection	Set the arming schedule of object removal detection for all channels	deepinview:19.7.3.2@p563;dvr-pro:12.4.3.2@p212;dvr-value:12.4.3.2@p248
GET	/ISAPI/Event/schedules/attendedBaggages/attendedBaggage	reference	deepinview	Abnormal Event Detection	Get the arming schedule of object removal detection for all channels	deepinview:19.7.3.3@p564
PUT	/ISAPI/Event/schedules/attendedBaggages/attendedBaggage	reference	deepinview	Abnormal Event Detection	Set the arming schedule of object removal detection for all channels	deepinview:19.7.3.4@p565
GET	/ISAPI/Event/schedules/attendedBaggages/attendedBaggage-{channelID}	reference	deepinview	Abnormal Event Detection	Get the arming schedule of object removal detection for a specified channel	deepinview:19.7.3.6@p567
PUT	/ISAPI/Event/schedules/attendedBaggages/attendedBaggage-{channelID}	reference	deepinview	Abnormal Event Detection	Set the arming schedule of object removal detection for a specified channel	deepinview:19.7.3.5@p566
GET	/ISAPI/Event/schedules/audioDetections	reference	deepinview	Audio Recognition	Get the arming schedule of audio detection for all channels	deepinview:19.17.1.1@p880
PUT	/ISAPI/Event/schedules/audioDetections	reference	deepinview	Audio Recognition	Set the arming schedule of audio detection for all channels	deepinview:19.17.1.2@p880
GET	/ISAPI/Event/schedules/audioDetections/audioDetection-{channelID}	reference	deepinview	Audio Recognition	Get the arming schedule of audio detection for a specified channel	deepinview:19.17.1.4@p882
PUT	/ISAPI/Event/schedules/audioDetections/audioDetection-{channelID}	reference	deepinview	Audio Recognition	Set the arming schedule of audio detection for a specified channel	deepinview:19.17.1.3@p881
GET	/ISAPI/Event/schedules/congestions	reference	deepinview	Road Traffic	Get arming schedules of congestion detection	deepinview:19.9.2.1@p687
PUT	/ISAPI/Event/schedules/congestions	reference	deepinview	Road Traffic	Set arming schedules for congestion detection in a batch	deepinview:19.9.2.2@p688
