method	path	tier	families	category	summary	where
DELETE	/ISAPI/System/Video/inputs/channels/{channelID}/privacyMask/regions	reference	deepinview,dvr-value,ipc-value	Video (General)	Delete parameters of all privacy mask areas of the specified channel	deepinview:19.2.12.8@p391;dvr-value:12.2.3.7@p177;ipc-value:8.2.10.4@p195
GET	/ISAPI/System/Video/inputs/channels/{channelID}/privacyMask/regions	reference	deepinview,dvr-value,ipc-value	Video (General)	Get the parameters of all privacy mask areas of a specified channel	deepinview:19.2.12.6@p389;dvr-value:12.2.3.5@p175;ipc-value:8.2.10.2@p193
PUT	/ISAPI/System/Video/inputs/channels/{channelID}/privacyMask/regions	reference	deepinview,dvr-value,ipc-value	Video (General)	Set the parameters of all privacy mask areas of a specified channel	deepinview:19.2.12.7@p390;dvr-value:12.2.3.6@p176;ipc-value:8.2.10.3@p194
DELETE	/ISAPI/System/Video/inputs/channels/{channelID}/privacyMask/regions/{regionID}	reference	deepinview,dvr-value,ipc-value	Video (General)	Delete parameters of a privacy mask area of the specified channel	deepinview:19.2.12.10@p393;dvr-value:12.2.3.8@p178;ipc-value:8.2.10.6@p197
GET	/ISAPI/System/Video/inputs/channels/{channelID}/privacyMask/regions/{regionID}	reference	deepinview,ipc-value	Video (General)	Get parameters of a privacy mask area of a specified channel	deepinview:19.2.12.9@p392;ipc-value:8.2.10.5@p196
PUT	/ISAPI/System/Video/inputs/channels/{channelID}/privacyMask/regions/{regionID}	reference	deepinview,ipc-value	Video (General)	Set parameters of a privacy mask area of a specified channel	deepinview:19.2.12.11@p394;ipc-value:8.2.10.7@p198
PUT	/ISAPI/System/Video/inputs/channels/{channelID}/tamperDetection/regions/{regionID}	reference	deepinview,ipc-value	Video (General)	Set the video tampering parameters of a single detection area for a specified channel	deepinview:19.2.15.10@p414;ipc-value:8.2.12.10@p213
PUT	/ISAPI/System/activate	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	encodes it by Base64, and sends it to the device in XML message (related URI: PUT /ISAPI/System/activate).	anpr:@p7;deepinview:@p8;dvr-pro:@p6;dvr-value:@p6;ipc-value:@p7
GET	/ISAPI/System/capabilitie	narrative	deepinview	Narrative / Quick Start	1. Get the device system capability: GET /ISAPI/System/capabilitie. If the node <OpenPlatformCap> is returned in	deepinview:@p51
GET	/ISAPI/System/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get device system capability	anpr:12.1.5.5@p113;deepinview:19.1.6.4@p196;dvr-pro:12.1.5.3@p110;dvr-value:12.1.5.3@p115;ipc-value:8.1.3.4@p74
GET	/ISAPI/System/columnSpeakers	reference	anpr	Traffic Control	Get the column speaker parameters	anpr:12.6.1.2@p342
PUT	/ISAPI/System/columnSpeakers	reference	anpr	Traffic Control	Set the column speaker parameters	anpr:12.6.1.3@p344
GET	/ISAPI/System/columnSpeakers/capabilities	reference	anpr	Traffic Control	Get the capability of configuring column speaker parameters	anpr:12.6.1.1@p341
GET	/ISAPI/System/configurationData	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Export device configuration file	anpr:12.1.5.6@p115;deepinview:19.1.6.5@p209;dvr-pro:12.1.5.4@p118;dvr-value:12.1.5.4@p124;ipc-value:8.1.3.5@p79
GET	/ISAPI/System/deviceInfo	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	Get the device (e.g., NVR) version information: GET /ISAPI/System/deviceInfo.	anpr:@p42;deepinview:@p56;dvr-pro:@p41;dvr-value:@p41
GET	/ISAPI/System/deviceInfo/characteristicCode	reference	deepinview	Device (General)	Get the device attribute code	deepinview:19.1.6.6@p209
PUT	/ISAPI/System/factoryReset	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set restoring devices' default parameters	anpr:12.1.5.10@p117;deepinview:19.1.6.7@p209;dvr-pro:12.1.5.8@p120;dvr-value:12.1.5.8@p125;ipc-value:8.1.3.6@p79
